0,15781004,8586163,7194841,60217,32026,28191,3.82 ,3.73 ,3.92 
1,15609741,8529096,7080645,17367,9892,7475,1.11 ,1.16 ,1.06 
2,15620703,8481993,7138710,9799,5711,4088,0.63 ,0.67 ,0.57 
3,15308734,8301050,7007684,6914,4160,2754,0.45 ,0.50 ,0.39 
4,14902755,8075240,6827515,5511,3356,2155,0.37 ,0.42 ,0.32 
5,14909878,8084689,6825189,4968,2996,1972,0.33 ,0.37 ,0.29 
6,13682248,7439647,6242601,4357,2762,1595,0.32 ,0.37 ,0.26 
7,13813184,7497063,6316121,3936,2598,1338,0.28 ,0.35 ,0.21 
8,13750209,7465949,6284260,3892,2559,1333,0.28 ,0.34 ,0.21 
9,14294119,7749645,6544474,4030,2706,1324,0.28 ,0.35 ,0.20 
10,14426198,7800080,6626118,4396,2875,1521,0.30 ,0.37 ,0.23 
11,14826750,7993164,6833586,4338,2805,1533,0.29 ,0.35 ,0.22 
12,15077211,8096347,6980864,4537,3006,1531,0.30 ,0.37 ,0.22 
13,15657202,8370524,7286678,4604,3031,1573,0.29 ,0.36 ,0.22 
14,17157426,9108328,8049098,5213,3526,1687,0.30 ,0.39 ,0.21 
15,18235193,9566710,8668483,6275,4274,2001,0.34 ,0.45 ,0.23 
16,19645121,10190732,9454389,6880,4717,2163,0.35 ,0.46 ,0.23 
17,20785800,10768542,10017258,8109,5598,2511,0.39 ,0.52 ,0.25 
18,20931619,10818838,10112781,8641,5995,2646,0.41 ,0.55 ,0.26 
19,24782943,12633225,12149718,10564,7504,3060,0.43 ,0.59 ,0.25 
20,27996307,14119785,13876522,13050,9191,3859,0.47 ,0.65 ,0.28 
21,25549017,12826563,12722454,12065,8446,3619,0.47 ,0.66 ,0.28 
22,25517111,12802453,12714658,12679,8824,3855,0.50 ,0.69 ,0.30 
23,23847363,11903544,11943819,12806,8922,3884,0.54 ,0.75 ,0.33 
24,21234592,10596378,10638214,11952,8355,3597,0.56 ,0.79 ,0.34 
25,19720201,9878621,9841580,11494,8064,3430,0.58 ,0.82 ,0.35 
26,19318225,9696906,9621319,11061,7740,3321,0.57 ,0.80 ,0.35 
27,20735030,10467943,10267087,12317,8518,3799,0.59 ,0.81 ,0.37 
28,21579576,10924745,10654831,13190,9350,3840,0.61 ,0.86 ,0.36 
29,18494657,9358146,9136511,12599,8825,3774,0.68 ,0.94 ,0.41 
30,20026819,10220969,9805850,13995,9688,4307,0.70 ,0.95 ,0.44 
31,19532535,9936263,9596272,15034,10472,4562,0.77 ,1.05 ,0.48 
32,18601190,9488023,9113167,14996,10571,4425,0.81 ,1.11 ,0.49 
33,19558031,10002957,9555074,16202,11463,4739,0.83 ,1.15 ,0.50 
34,20911530,10673506,10238024,19733,13610,6123,0.94 ,1.28 ,0.60 
35,21793330,11117248,10676082,22384,15779,6605,1.03 ,1.42 ,0.62 
36,23393066,11955269,11437797,24888,17366,7522,1.06 ,1.45 ,0.66 
