0,13786434,7461199,6325235,1.03 ,0.56 ,0.47 ,117.96 
1,15657955,8574973,7082982,1.17 ,0.64 ,0.53 ,121.06 
2,15617375,8507697,7109678,1.17 ,0.64 ,0.53 ,119.66 
3,15250805,8272491,6978314,1.14 ,0.62 ,0.52 ,118.55 
4,15220041,8246206,6973835,1.14 ,0.62 ,0.52 ,118.24 
5,14732137,7988151,6743986,1.11 ,0.60 ,0.51 ,118.45 
6,14804470,8034452,6770018,1.11 ,0.60 ,0.51 ,118.68 
7,13429161,7292300,6136861,1.01 ,0.55 ,0.46 ,118.83 
8,13666956,7423559,6243397,1.03 ,0.56 ,0.47 ,118.90 
9,14248825,7726203,6522622,1.07 ,0.58 ,0.49 ,118.45 
10,14454357,7830808,6623549,1.08 ,0.59 ,0.50 ,118.23 
11,13935714,7522558,6413156,1.05 ,0.56 ,0.48 ,117.30 
12,15399559,8288987,7110572,1.16 ,0.62 ,0.53 ,116.57 
13,15225032,8161000,7064032,1.14 ,0.61 ,0.53 ,115.53 
14,15893800,8463924,7429876,1.19 ,0.64 ,0.56 ,113.92 
15,18024484,9524898,8499586,1.35 ,0.71 ,0.64 ,112.06 
16,18790521,9795181,8995340,1.41 ,0.73 ,0.67 ,108.89 
17,20775369,10760828,10014541,1.56 ,0.81 ,0.75 ,107.45 
18,20755274,10744556,10010718,1.56 ,0.81 ,0.75 ,107.33 
19,21543466,11079367,10464099,1.62 ,0.83 ,0.79 ,105.88 
20,28026954,14201091,13825863,2.10 ,1.07 ,1.04 ,102.71 
21,26556649,13357755,13198894,1.99 ,1.00 ,0.99 ,101.20 
22,24474192,12281148,12193044,1.84 ,0.92 ,0.91 ,100.72 
23,25695955,12876542,12819413,1.93 ,0.97 ,0.96 ,100.45 
24,22658768,11292037,11366731,1.70 ,0.85 ,0.85 ,99.34 
25,19933683,9969984,9963699,1.50 ,0.75 ,0.75 ,100.06 
26,19709177,9879292,9829885,1.48 ,0.74 ,0.74 ,100.50 
